Student_ID,Study_Hours,Attendance,Rest_Hours,Parental_Involvement,Access_to_Resources
1,23,84,8.0,Low,High
2,19,64,9.0,Low,Medium
3,24,98,8.0,Medium,Medium
4,29,89,9.0,Low,Medium
5,19,92,7.0,Medium,Medium
6,19,88,9.0,Medium,Medium
7,29,84,8.0,Medium,Low
8,25,78,7.0,Low,High
9,17,94,7.0,Medium,High
10,23,98,9.0,Medium,Medium
11,17,80,9.0,Low,High
12,17,97,7.0,Medium,High
13,21,83,9.0,Medium,Medium
14,9,82,9.0,Medium,Medium
15,10,78,9.0,Medium,High
16,17,68,9.0,Medium,Medium
17,14,60,11.0,Medium,Low
18,22,70,,Low,Medium
19,15,80,10.0,Medium,Medium
20,12,75,8.0,Medium,High
21,29,78,6.0,Medium,Medium
22,19,99,7.0,Medium,High
23,20,74,9.0,Medium,High
24,11,78,,High,Medium
25,17,65,6.0,Low,High
26,21,62,7.0,High,Low
27,13,91,7.0,Low,Medium
28,22,83,7.0,High,High
29,16,90,5.0,Medium,Medium
30,18,66,5.0,High,High
31,16,83,7.0,Low,Medium
32,31,70,,Medium,High
33,20,69,9.0,Medium,Medium
34,14,60,6.0,High,Medium
35,25,65,6.0,High,Medium
36,13,72,7.0,Low,Medium
37,21,65,8.0,Medium,Low
38,8,99,10.0,Medium,Medium
39,12,72,9.0,Low,Medium
40,21,65,7.0,Low,Medium
41,24,68,9.0,High,Medium
42,21,84,7.0,Medium,Medium
43,19,63,8.0,Low,High
44,18,94,8.0,Medium,High
45,11,98,10.0,Medium,Medium
46,16,70,9.0,Medium,Medium
47,17,78,7.0,Medium,Medium
48,26,61,7.0,Medium,Low
49,22,86,8.0,Low,Medium
50,9,77,6.0,Medium,Medium
51,22,71,8.0,Low,Medium
52,18,68,8.0,High,Medium
53,16,86,9.0,Low,Medium
54,24,77,9.0,High,Low
55,26,67,8.0,Medium,High
56,26,88,6.0,Medium,High
57,15,83,6.0,Medium,High
58,18,94,7.0,Medium,Medium
59,22,65,9.0,High,Low
60,26,91,9.0,Medium,Low
61,17,87,8.0,Medium,Medium
62,19,65,,Medium,Medium
63,13,88,10.0,Low,High
64,13,78,10.0,Medium,High
65,25,98,9.0,Low,High
66,28,66,9.0,Medium,High
67,20,86,9.0,Medium,Medium
68,26,75,5.0,Low,High
69,22,98,6.0,Medium,High
70,16,73,8.0,Medium,Medium
71,22,98,8.0,Medium,Low
72,29,96,8.0,Medium,Low
73,20,71,8.0,Medium,Medium
74,29,92,5.0,Low,Medium
75,4,100,9.0,High,High
76,25,70,8.0,Medium,Medium
77,21,77,8.0,Low,Medium
78,18,81,9.0,High,Low
79,21,72,6.0,Medium,Medium
80,8,61,8.0,Medium,Medium
81,19,69,,Medium,High
82,22,71,7.0,High,Medium
83,29,78,5.0,High,High
84,17,67,6.0,Medium,Medium
85,15,95,8.0,Medium,Medium
86,17,88,8.0,Medium,High
87,25,63,8.0,Medium,High
88,22,86,7.0,Low,Low
89,17,86,,Medium,High
90,23,98,8.0,Medium,Low
91,21,60,8.0,High,Medium
92,26,70,9.0,Medium,Low
93,16,97,7.0,Medium,Medium
94,18,97,,High,Medium
95,18,89,5.0,High,Medium
96,11,91,7.0,Medium,Medium
97,22,64,,Low,Medium
98,22,81,8.0,Medium,Medium
99,20,69,7.0,High,High
100,19,67,6.0,Low,Medium
101,12,92,5.0,Medium,Medium
102,17,65,9.0,Medium,High
103,18,79,8.0,Medium,Medium
104,15,98,7.0,High,Medium
105,19,67,6.0,Medium,Medium
106,22,99,7.0,Medium,Low
107,31,100,8.0,Medium,Medium
108,21,82,8.0,Medium,High
109,22,67,8.0,Medium,Medium
110,20,73,10.0,High,Medium
111,8,77,7.0,High,Medium
112,20,72,10.0,Medium,Medium
113,20,71,8.0,Low,High
114,35,99,8.0,High,High
115,19,66,9.0,Medium,Medium
116,22,89,7.0,High,High
117,20,60,8.0,Low,High
118,13,84,6.0,Medium,Medium
119,27,97,9.0,Low,High
120,25,72,9.0,High,High
121,25,67,10.0,High,Medium
122,15,86,8.0,Medium,Medium
123,28,89,10.0,Low,High
124,12,88,7.0,Low,Medium
125,24,73,9.0,Medium,High
126,33,70,7.0,Medium,Medium
127,14,98,8.0,Medium,Medium
128,17,97,9.0,Medium,Medium
129,21,78,11.0,Medium,Medium
130,17,94,9.0,Low,Medium
131,11,78,9.0,Medium,High
132,20,77,7.0,Medium,Medium
133,14,66,,High,Low
134,23,77,8.0,Medium,Medium
135,14,81,10.0,Medium,Medium
136,29,61,8.0,Medium,High
137,15,78,10.0,High,High
138,18,91,6.0,Low,Medium
139,25,87,10.0,Medium,Low
140,13,85,7.0,High,Medium
141,21,96,9.0,Medium,Medium
142,28,61,7.0,Medium,High
143,10,82,9.0,Medium,Low
144,21,91,7.0,High,Medium
145,22,82,10.0,Medium,Medium
146,25,73,9.0,Medium,High
147,13,65,7.0,Low,High
148,12,96,9.0,Low,High
149,23,79,9.0,High,High
150,22,95,7.0,Medium,High
151,22,83,6.0,Medium,High
152,22,87,6.0,High,High
153,16,92,6.0,Medium,High
154,21,86,6.0,Low,Medium
155,22,76,9.0,Medium,Medium
156,16,81,9.0,Medium,Medium
157,31,92,,Medium,Medium
158,23,75,7.0,Low,High
159,13,76,6.0,Medium,High
160,24,64,9.0,Medium,Medium
161,14,97,7.0,Medium,Medium
162,25,64,6.0,Medium,High
163,27,86,8.0,Medium,Medium
164,15,77,9.0,Medium,Medium
