,station_id,date,quality_level_3,max_wind_gust,mean_wind_speed,quality_level_4,precipitation_height,precipitation_form,sunshine_duration,snow_depth,NM,mean_vapor_pressure,mean_pressure,mean_temperature,mean_relative_humidity,max_temperature_2m,min_temperature_2m,min_temperature_5cm,eor
0,3379,1954-06-01,,,,1,0.0,1,,0,,,,14.0,,17.6,10.4,,eor
1,3379,1954-06-02,,,,1,0.5,1,,0,,,,13.2,,19.7,9.7,,eor
2,3379,1954-06-03,,,,1,0.0,1,,0,,,,16.6,,21.9,8.2,,eor
3,3379,1954-06-04,,,,1,1.2,1,,0,,,,15.2,,17.3,11.8,,eor
4,3379,1954-06-05,,,,1,6.0,1,,0,,,,15.2,,17.7,13.7,,eor
5,3379,1954-06-06,,,,1,2.3,1,,0,,,,12.9,,17.7,10.9,,eor
6,3379,1954-06-07,,,,1,2.9,1,,0,,,,11.5,,14.6,8.4,,eor
7,3379,1954-06-08,,,,1,0.0,0,,0,,,,18.0,,23.4,6.6,,eor
8,3379,1954-06-09,,,,1,0.2,1,,0,,,,20.4,,26.3,12.0,,eor
9,3379,1954-06-10,,,,1,1.0,1,,0,,,,13.1,,19.0,11.3,,eor
10,3379,1954-06-11,,,,1,4.8,1,,0,,,,12.8,,18.2,10.8,,eor
11,3379,1954-06-12,,,,1,0.0,1,,0,,,,17.1,,22.4,10.3,,eor
12,3379,1954-06-13,,,,1,3.6,1,,0,,,,16.0,,21.3,12.9,,eor
13,3379,1954-06-14,,,,1,2.5,1,,0,,,,14.2,,17.4,12.2,,eor
14,3379,1954-06-15,,,,1,0.3,1,,0,,,,14.7,,17.5,12.2,,eor
15,3379,1954-06-16,,,,1,1.2,1,,0,,,,14.2,,15.6,11.8,,eor
16,3379,1954-06-17,,,,1,0.0,1,,0,,,,15.5,,20.0,12.3,,eor
17,3379,1954-06-18,,,,1,0.0,0,,0,,,,18.8,,22.8,12.2,,eor
18,3379,1954-06-19,,,,1,0.0,0,,0,,,,21.8,,26.8,13.1,,eor
19,3379,1954-06-20,,,,1,0.0,0,,0,,,,22.8,,28.4,15.5,,eor
20,3379,1954-06-21,,,,1,23.3,1,,0,,,,22.0,,29.3,16.6,,eor
21,3379,1954-06-22,,,,1,5.8,1,,0,,,,20.0,,24.4,15.8,,eor
22,3379,1954-06-23,,,,1,0.5,1,,0,,,,19.3,,22.3,14.8,,eor
23,3379,1954-06-24,,,,1,0.0,0,,0,,,,19.4,,23.5,14.9,,eor
24,3379,1954-06-25,,,,1,0.0,0,,0,,,,20.7,,25.6,13.3,,eor
25,3379,1954-06-26,,,,1,0.0,0,,0,,,,22.4,,26.6,16.6,,eor
26,3379,1954-06-27,,,,1,1.7,1,,0,,,,17.9,,24.1,13.8,,eor
27,3379,1954-06-28,,,,1,11.2,1,,0,,,,11.6,,13.8,11.0,,eor
28,3379,1954-06-29,,,,1,8.7,1,,0,,,,11.9,,13.8,9.6,,eor
29,3379,1954-06-30,,,,1,0.6,1,,0,,,,16.1,,18.1,9.1,,eor
30,3379,1954-07-01,,,,1,27.5,1,,0,,,,12.1,,17.4,10.5,,eor
31,3379,1954-07-02,,,,1,3.3,1,,0,,,,11.8,,14.2,10.2,,eor
32,3379,1954-07-03,,,,1,2.7,1,,0,,,,16.1,,21.3,10.6,,eor
33,3379,1954-07-04,,,,1,13.3,1,,0,,,,16.7,,23.0,12.5,,eor
34,3379,1954-07-05,,,,1,1.7,1,,0,,,,13.4,,16.8,10.2,,eor
35,3379,1954-07-06,,,,1,1.3,1,,0,,,,12.9,,15.2,11.6,,eor
36,3379,1954-07-07,,,,1,55.9,1,,0,,,,9.9,,13.1,8.6,,eor
37,3379,1954-07-08,,,,1,60.7,1,,0,,,,9.0,,10.7,8.0,,eor
38,3379,1954-07-09,,,,1,42.2,1,,0,,,,8.5,,9.2,8.2,,eor
39,3379,1954-07-10,,,,1,21.1,1,,0,,,,10.5,,11.6,8.0,,eor
40,3379,1954-07-11,,,,1,0.0,1,,0,,,,15.3,,19.7,10.0,,eor
41,3379,1954-07-12,,,,1,2.1,1,,0,,,,17.6,,23.5,11.3,,eor
42,3379,1954-07-13,,,,1,0.0,1,,0,,,,15.0,,18.2,13.4,,eor
43,3379,1954-07-14,,,,1,5.1,1,,0,,,,16.4,,21.2,12.6,,eor
44,3379,1954-07-15,,,,1,9.4,1,,0,,,,15.6,,20.6,13.0,,eor
45,3379,1954-07-16,,,,1,16.1,1,,0,,,,11.9,,15.2,10.6,,eor
46,3379,1954-07-17,,,,1,0.4,1,,0,,,,17.9,,22.8,10.6,,eor
47,3379,1954-07-18,,,,1,0.6,1,,0,,,,17.9,,22.8,15.5,,eor
48,3379,1954-07-19,,,,1,6.2,1,,0,,,,15.2,,17.3,13.6,,eor
49,3379,1954-07-20,,,,1,0.0,0,,0,,,,14.9,,18.7,11.8,,eor
50,3379,1954-07-21,,,,1,0.0,0,,0,,,,18.2,,24.6,8.5,,eor
51,3379,1954-07-22,,,,1,3.8,1,,0,,,,19.7,,25.6,12.5,,eor
52,3379,1954-07-23,,,,1,0.0,1,,0,,,,17.1,,21.9,13.4,,eor
53,3379,1954-07-24,,,,1,0.0,1,,0,,,,18.4,,23.4,13.0,,eor
54,3379,1954-07-25,,,,1,0.0,0,,0,,,,21.9,,26.9,15.4,,eor
55,3379,1954-07-26,,,,1,0.3,1,,0,,,,19.4,,24.8,16.2,,eor
56,3379,1954-07-27,,,,1,0.2,1,,0,,,,21.9,,26.6,16.0,,eor
57,3379,1954-07-28,,,,1,0.0,1,,0,,,,18.6,,21.7,16.7,,eor
58,3379,1954-07-29,,,,1,0.0,0,,0,,,,14.8,,19.0,13.0,,eor
59,3379,1954-07-30,,,,1,5.4,1,,0,,,,13.8,,17.7,12.4,,eor
60,3379,1954-07-31,,,,1,0.3,1,,0,,,,14.0,,18.6,11.3,,eor
61,3379,1954-08-01,,,,1,0.0,1,,0,,,,15.8,,20.6,8.8,,eor
62,3379,1954-08-02,,,,1,0.0,0,,0,,,,21.2,,26.9,13.4,,eor
63,3379,1954-08-03,,,,1,9.2,1,,0,,,,12.7,,29.7,14.3,,eor
64,3379,1954-08-04,,,,1,2.4,1,,0,,,,20.4,,27.0,15.5,,eor
65,3379,1954-08-05,,,,1,0.0,0,,0,,,,21.0,,26.5,15.8,,eor
66,3379,1954-08-06,,,,1,7.5,1,,0,,,,23.8,,30.2,15.1,,eor
67,3379,1954-08-07,,,,1,4.2,1,,0,,,,14.0,,24.2,13.5,,eor
68,3379,1954-08-08,,,,1,0.3,1,,0,,,,17.1,,22.8,10.7,,eor
69,3379,1954-08-09,,,,1,26.8,1,,0,,,,16.5,,19.4,14.2,,eor
70,3379,1954-08-10,,,,1,2.4,1,,0,,,,14.2,,17.5,12.8,,eor
71,3379,1954-08-11,,,,1,0.0,1,,0,,,,13.6,,18.1,11.4,,eor
72,3379,1954-08-12,,,,1,0.5,1,,0,,,,17.0,,21.7,10.0,,eor
73,3379,1954-08-13,,,,1,0.0,0,,0,,,,22.1,,29.4,13.7,,eor
74,3379,1954-08-14,,,,1,0.0,1,,0,,,,20.9,,26.5,15.4,,eor
75,3379,1954-08-15,,,,1,2.6,1,,0,,,,13.4,,19.8,12.2,,eor
76,3379,1954-08-16,,,,1,1.0,1,,0,,,,12.2,,14.6,11.0,,eor
77,3379,1954-08-17,,,,1,0.0,1,,0,,,,15.5,,19.6,10.0,,eor
78,3379,1954-08-18,,,,1,4.8,1,,0,,,,17.7,,22.6,10.0,,eor
79,3379,1954-08-19,,,,1,0.2,1,,0,,,,17.2,,21.8,14.4,,eor
80,3379,1954-08-20,,,,1,0.3,1,,0,,,,17.6,,21.3,14.0,,eor
81,3379,1954-08-21,,,,1,0.6,1,,0,,,,17.2,,20.2,14.6,,eor
82,3379,1954-08-22,,,,1,14.6,1,,0,,,,12.1,,16.6,11.2,,eor
83,3379,1954-08-23,,,,1,0.0,1,,0,,,,12.4,,16.6,10.4,,eor
84,3379,1954-08-24,,,,1,0.0,1,,0,,,,13.6,,17.2,8.5,,eor
85,3379,1954-08-25,,,,1,4.9,1,,0,,,,13.5,,19.4,10.3,,eor
86,3379,1954-08-26,,,,1,6.9,1,,0,,,,13.1,,15.0,11.2,,eor
87,3379,1954-08-27,,,,1,2.0,1,,0,,,,14.6,,17.5,12.3,,eor
88,3379,1954-08-28,,,,1,0.0,0,,0,,,,15.5,,21.8,11.0,,eor
89,3379,1954-08-29,,,,1,8.4,1,,0,,,,14.7,,18.2,11.5,,eor
90,3379,1954-08-30,,,,1,0.0,0,,0,,,,16.2,,19.6,12.4,,eor
91,3379,1954-08-31,,,,1,0.0,0,,0,,,,18.5,,25.1,13.0,,eor
92,3379,1954-09-01,,,,1,0.0,0,,0,,,,20.2,,26.8,12.2,,eor
93,3379,1954-09-02,,,,1,18.4,1,,0,,,,20.4,,26.3,14.4,,eor
94,3379,1954-09-03,,,,1,0.0,0,,0,,,,19.1,,24.7,14.5,,eor
95,3379,1954-09-04,,,,1,0.0,0,,0,,,,20.6,,26.3,13.5,,eor
96,3379,1954-09-05,,,,1,17.1,1,,0,,,,21.3,,25.9,14.6,,eor
